name	node1 gene ID	MCL cluster	Conserved (Y/N)	SARS-CoV-2 Interacting Protein	SARS-CoV-2 PPI (Y/N)
ATP5F1A	498	C-12	yes	NA	no
BCS1L	617	C-12	no	SARS-CoV2 orf9c	yes
CYC1	1537	C-12	yes	NA	no
DNAJC19	131118	C-12	no	SARS-CoV2 nsp7	yes
GRPEL1	80273	C-12	no	SARS-CoV2 nsp10	yes
HSPD1	3329	C-12	yes	NA	no
LDHD	197257	C-12	yes	NA	no
PITRM1	10531	C-12	no	SARS-CoV2 M	yes
PMPCA	23203	C-12	no	SARS-CoV2 M	yes
TOMM5	401505	C-12	yes	NA	no
STOML2	30968	C-12	no	SARS-CoV2 orf3b	yes
CLPP	8192	C-12	yes	NA	no
GFER	2671	C-12	no	SARS-CoV2 nsp10	yes
PMPCB	9512	C-12	no	SARS-CoV2 M	yes
ADAM8	101	C-13	yes	NA	no
ANO6	196527	C-13	no	SARS-CoV2 M	yes
ITGAM	3684	C-13	yes	NA	no
ITGAV	3685	C-13	yes	NA	no
ITGAX	3687	C-13	yes	NA	no
PGRMC1	10857	C-13	yes	NA	no
PLAU	5328	C-13	yes	NA	no
PLAUR	5329	C-13	yes	NA	no
PVR	5817	C-13	yes	SARS-CoV2 orf8	yes
SLC44A2	57153	C-13	no	SARS-CoV2 E	yes
STOM	2040	C-13	no	SARS-CoV2 M	yes
SVIP	258010	C-13	yes	NA	no
TNFRSF1B	7133	C-13	yes	NA	no
ASIC1	41	C-13	yes	NA	no
BAZ2A	11176	C-14	yes	NA	no
BRMS1	25855	C-14	yes	NA	no
GATAD2B	57459	C-14	yes	NA	no
HDAC2	3066	C-14	no	SARS-CoV2 nsp5	yes
KAT6A	7994	C-14	yes	NA	no
MBD3	53615	C-14	yes	NA	no
UBAP2L	9898	C-14	no	SARS-CoV2 nsp12	yes
ETV3	2117	C-14	yes	NA	no
ZNFX1	57169	C-14	yes	NA	no
MXD1	4084	C-14	yes	NA	no
FKBP3	2287	C-14	yes	NA	no
ARID4B	51742	C-14	yes	NA	no
BDNF	627	C-15	yes	NA	no
DLL1	28514	C-15	yes	NA	no
FRS2	10818	C-15	yes	NA	no
MAML2	84441	C-15	yes	NA	no
NOTCH1	4851	C-15	yes	NA	no
NTRK2	4915	C-15	yes	NA	no
POFUT1	23509	C-15	no	SARS-CoV2 orf8	yes
PSENEN	55851	C-15	yes	NA	no
SPEN	23013	C-15	yes	NA	no
ZNF274	10782	C-15	yes	NA	no
EHD4	30844	C-15	yes	NA	no
AMACR	23600	C-16	yes	NA	no
CAT	847	C-16	yes	NA	no
CROT	54677	C-16	yes	NA	no
EPHX2	2053	C-16	yes	NA	no
IDE	3416	C-16	no	SARS-CoV2 nsp4	yes
NUDT7	283927	C-16	yes	NA	no
SCP2	6342	C-16	yes	NA	no
SLC27A2	11001	C-16	no	SARS-CoV2 nsp2	yes
TYSND1	219743	C-16	no	SARS-CoV2 nsp12	yes
AGPS	8540	C-16	no	SARS-CoV2 nsp7	yes
ECH1	1891	C-16	yes	NA	no
ACADM	34	C-17	no	SARS-CoV2 M	yes
ACAT2	39	C-17	yes	NA	no
ACSS3	79611	C-17	yes	NA	no
ALDH6A1	4329	C-17	yes	NA	no
ECHDC1	55862	C-17	yes	NA	no
ECHS1	1892	C-17	yes	NA	no
HADH	3033	C-17	yes	NA	no
IVD	3712	C-17	yes	NA	no
PCCB	5096	C-17	yes	NA	no
MCCC1	56922	C-17	yes	NA	no
ACAA2	10449	C-17	yes	NA	no
CCNL1	57018	C-18	yes	NA	no
GMNN	51053	C-18	yes	NA	no
MCM6	4175	C-18	yes	NA	no
MCM7	4176	C-18	yes	NA	no
POLA1	5422	C-18	no	SARS-CoV2 nsp1	yes
POLA2	23649	C-18	no	SARS-CoV2 nsp1	yes
PRIM1	5557	C-18	no	SARS-CoV2 nsp1	yes
PRIM2	5558	C-18	no	SARS-CoV2 nsp1	yes
RRM1	6240	C-18	yes	NA	no
CDC6	990	C-18	yes	NA	no
CPEB3	22849	C-19	yes	NA	no
KPNA2	3838	C-19	yes	NA	no
RAN	5901	C-19	yes	NA	no
TRMT1	55621	C-19	no	SARS-CoV2 nsp5_C145A	yes
CPEB4	80315	C-19	yes	NA	no
CPEB2	132864	C-19	yes	NA	no
RANGRF	29098	C-19	yes	NA	no
AGO2	27161	C-19	yes	NA	no
NUTF2	10204	C-19	no	SARS-CoV2 nsp15	yes
DCTPP1	79077	C-21	no	SARS-CoV2 orf9b	yes
ENTPD3	956	C-21	yes	NA	no
NT5C3A	51251	C-21	yes	NA	no
NT5C3B	115024	C-21	yes	NA	no
NT5E	4907	C-21	yes	NA	no
TYMP	1890	C-21	yes	NA	no
UCKL1	54963	C-21	yes	NA	no
CMPK2	129607	C-21	yes	NA	no
GPX1	2876	C-22	no	SARS-CoV2 nsp5_C145A	yes
HIBCH	26275	C-22	yes	NA	no
MDH1	4190	C-22	yes	NA	no
PARK7	11315	C-22	yes	NA	no
PRDX2	7001	C-22	yes	NA	no
SOD1	6647	C-22	yes	NA	no
SOD2	6648	C-22	yes	NA	no
IDH2	3418	C-22	yes	NA	no
MRPL34	64981	C-23	yes	NA	no
MRPL43	84545	C-23	yes	NA	no
MRPS2	51116	C-23	no	SARS-CoV2 nsp8	yes
MRPS25	64432	C-23	no	SARS-CoV2 nsp8	yes
MRPS27	23107	C-23	no	SARS-CoV2 nsp8	yes
MRPS5	64969	C-23	no	SARS-CoV2 nsp8	yes
MRPL23	6150	C-23	yes	NA	no
MRPL51	51258	C-23	yes	NA	no
ATAD2B	54454	C-24	yes	NA	no
MYSM1	114803	C-24	yes	NA	no
OAZ1	4946	C-24	yes	NA	no
PSMB5	5693	C-24	yes	NA	no
PSMD8	5714	C-24	no	SARS-CoV2 M	yes
UBD	10537	C-24	yes	NA	no
ELP6	54859	C-24	yes	NA	no
CDH6	1004	C-26	yes	NA	no
TFDP2	7029	C-26	yes	NA	no
DSP	1832	C-26	yes	NA	no
E2F3	1871	C-26	yes	NA	no
JUP	3728	C-26	yes	NA	no
CDH17	1015	C-26	yes	NA	no
PKP2	5318	C-26	no	SARS-CoV2 nsp1	yes
ARL1	400	C-27	yes	NA	no
COG3	83548	C-27	yes	NA	no
COG4	25839	C-27	yes	NA	no
GCC1	79571	C-27	no	SARS-CoV2 nsp13	yes
GCC2	9648	C-27	no	SARS-CoV2 nsp13	yes
STX16	8675	C-27	yes	NA	no
GOLGA3	2802	C-27	no	SARS-CoV2 nsp13	yes
TIMM29	90580	C-28	no	SARS-CoV2 nsp4	yes
MPST	4357	C-28	yes	NA	no
TIMM10	26519	C-28	no	SARS-CoV2 nsp4	yes
TIMM8B	26521	C-28	yes	SARS-CoV2 orf10	yes
TIMM9	26520	C-28	no	SARS-CoV2 nsp4	yes
TIMM10B	26515	C-28	no	SARS-CoV2 nsp4	yes
BRD2	6046	C-29	no	SARS-CoV2 E	yes
CSNK2A2	1459	C-29	yes	SARS-CoV2 N	yes
CSNK2B	1460	C-29	no	SARS-CoV2 N	yes
NR4A3	8013	C-29	yes	NA	no
RUNX1	861	C-29	yes	NA	no
RYBP	23429	C-29	yes	NA	no
FAM8A1	51439	C-34	no	SARS-CoV2 M	yes
FOXRED2	80020	C-34	no	SARS-CoV2 orf8	yes
OS9	10956	C-34	no	SARS-CoV2 orf8	yes
RNF5	6048	C-34	yes	NA	no
ERLEC1	27248	C-34	no	SARS-CoV2 orf8	yes
ATXN2L	11273	C-35	yes	NA	no
PABPC1	26986	C-35	no	SARS-CoV2 N	yes
PAIP2	51247	C-35	yes	NA	no
PABPC4	8761	C-35	no	SARS-CoV2 N	yes
PAIP2B	400961	C-35	yes	NA	no
B3GALT5	10317	C-20	yes	NA	no
B4GALT5	9334	C-20	yes	NA	no
FUT1	2523	C-20	yes	NA	no
MUC1	4582	C-20	yes	NA	no
MUC4	4585	C-20	yes	NA	no
ST3GAL1	6482	C-20	yes	NA	no
B3GNT2	10678	C-20	yes	NA	no
GALNT16	57452	C-20	yes	NA	no
B3GNT5	84002	C-20	yes	NA	no
ETV1	2115	C-25	yes	NA	no
NFIL3	4783	C-25	yes	NA	no
PER1	5187	C-25	yes	NA	no
PER2	8864	C-25	yes	NA	no
PER3	8863	C-25	yes	NA	no
STK40	83931	C-25	yes	NA	no
SIK1	150094	C-25	yes	NA	no
CDCA7	83879	C-30	yes	NA	no
FOXO1	2308	C-30	yes	NA	no
YWHAQ	10971	C-30	yes	NA	no
DDIT4	54541	C-30	yes	NA	no
CSNK1G2	1455	C-30	yes	NA	no
LNPEP	4012	C-30	yes	NA	no
CYP1A1	1543	C-31	yes	NA	no
CYP1B1	1545	C-31	yes	NA	no
EPHX1	2052	C-31	yes	NA	no
IDO1	3620	C-31	yes	NA	no
ALDH1A2	8854	C-31	yes	NA	no
AHRR	57491	C-31	yes	NA	no
GAMT	2593	C-32	yes	NA	no
GATM	2628	C-32	yes	NA	no
GCAT	23464	C-32	yes	NA	no
GCSH	2653	C-32	yes	NA	no
GLDC	2731	C-32	yes	NA	no
GLUL	2752	C-32	yes	NA	no
FKBP1A	2280	C-33	yes	NA	no
RBM27	54439	C-33	yes	NA	no
TAGLN	6876	C-33	yes	NA	no
INHBA	3624	C-33	yes	NA	no
ENO3	2027	C-33	yes	NA	no
ABCC1	4363	C-36	yes	SARS-CoV2 orf9c	yes
TPM2	7169	C-36	yes	NA	no
VIM	7431	C-36	yes	NA	no
TMOD2	29767	C-36	yes	NA	no
EDEM3	80267	C-37	no	SARS-CoV2 orf8	yes
EMC1	23065	C-37	no	SARS-CoV2 orf8	yes
VCPIP1	80124	C-37	yes	NA	no
HSPB1	3315	C-37	yes	NA	no
INPP4B	8821	C-38	yes	NA	no
ISYNA1	51477	C-38	yes	NA	no
MTMR3	8897	C-38	yes	NA	no
MTM1	4534	C-38	yes	NA	no
DUSP1	1843	C-39	yes	NA	no
DUSP2	1844	C-39	yes	NA	no
DUSP4	1846	C-39	yes	NA	no
DUSP8	1850	C-39	yes	NA	no
ARID1A	8289	C-40	yes	NA	no
BCL7C	9274	C-40	yes	NA	no
SMARCE1	6605	C-40	yes	NA	no
ZNF14	7561	C-40	yes	NA	no
SEC24A	10802	C-41	yes	NA	no
S100A6	6277	C-41	yes	NA	no
SCAP	22937	C-41	no	SARS-CoV2 orf9c	yes
HNRNPAB	3182	C-42	yes	NA	no
PTBP2	58155	C-42	yes	SARS-CoV2 orf9b	yes
KHDRBS3	10656	C-42	yes	NA	no
CENPA	1058	C-43	yes	NA	no
CENPB	1059	C-43	yes	NA	no
MACROH2A2	55506	C-43	yes	NA	no
COX17	10063	C-44	yes	NA	no
SCYL2	55681	C-44	yes	NA	no
UFC1	51506	C-44	yes	NA	no
RASAL2	9462	C-45	yes	NA	no
SPRED3	399473	C-45	yes	NA	no
DAB2IP	153090	C-45	yes	NA	no
GOLGA7	51125	C-46	no	SARS-CoV2 Spike	yes
SPTSSA	171546	C-46	yes	NA	no
SPTLC2	9517	C-46	yes	NA	no
RBM15	64783	C-47	yes	NA	no
WTAP	9589	C-47	yes	NA	no
YTHDC1	91746	C-47	yes	NA	no
ALG8	79053	C-48	no	SARS-CoV2 orf9c	yes
DPM3	54344	C-48	yes	NA	no
ALG5	29880	C-48	no	SARS-CoV2 orf3a	yes
DCAF7	10238	C-49	no	SARS-CoV2 nsp9	yes
DYRK1A	1859	C-49	yes	NA	no
RCAN1	1827	C-49	yes	NA	no
MAFF	23764	C-50	yes	NA	no
MAFG	4097	C-50	yes	NA	no
MAFK	7975	C-50	yes	NA	no
ARHGAP26	23092	C-51	yes	NA	no
CDC42EP2	10435	C-51	yes	NA	no
CDC42EP3	10602	C-51	yes	NA	no
DAD1	1603	C-52	yes	NA	no
OST4	100128731	C-52	yes	NA	no
MOGS	7841	C-52	no	SARS-CoV2 nsp7	yes
BAG2	9532	C-53	yes	NA	no
BAG5	9529	C-53	no	SARS-CoV2 orf9b	yes
HSPA13	6782	C-53	yes	NA	no
AADAT	51166	C-54	yes	NA	no
ALDH7A1	501	C-54	yes	NA	no
AASS	10157	C-54	no	SARS-CoV2 M	yes
ECI2	10455	C-55	yes	NA	no
OGT	8473	C-55	yes	NA	no
KANSL1	284058	C-55	yes	NA	no
ANP32E	81611	C-56	yes	NA	no
ING3	54556	C-56	yes	NA	no
EPC1	80314	C-56	yes	NA	no
EVC2	132884	C-57	yes	NA	no
GAS1	2619	C-57	yes	NA	no
SMO	6608	C-57	yes	NA	no
KRT19	3880	C-58	yes	NA	no
KRT80	144501	C-58	yes	NA	no
KRT17	3872	C-58	yes	NA	no
PTP4A1	7803	C-59	yes	NA	no
TUBA1B	10376	C-59	yes	NA	no
TBCA	6902	C-59	no	SARS-CoV2 nsp11	yes
MAT2B	27430	C-60	no	SARS-CoV2 nsp9	yes
TOMM70	9868	C-60	no	SARS-CoV2 orf9b	yes
VDAC3	7419	C-60	yes	NA	no
COMT	1312	C-61	no	SARS-CoV2 nsp7	yes
MAOB	4129	C-61	yes	NA	no
AOC2	314	C-61	yes	NA	no
CHMP2A	27243	C-62	no	SARS-CoV2 orf9b	yes
VPS37D	155382	C-62	yes	NA	no
CHMP2B	25978	C-62	yes	NA	no
DPYSL3	1809	C-63	yes	NA	no
PLXNA2	5362	C-63	yes	NA	no
SEMA3A	10371	C-63	yes	NA	no
BCKDK	10295	C-64	no	SARS-CoV2 nsp12	yes
PPM1K	152926	C-64	yes	NA	no
BCKDHB	594	C-64	yes	NA	no
SUCLA2	8803	C-65	yes	NA	no
SUCLG1	8802	C-65	yes	NA	no
OXCT1	5019	C-65	yes	NA	no
EIF4E2	9470	C-66	no	SARS-CoV2 nsp2	yes
GIGYF2	26058	C-66	no	SARS-CoV2 nsp2	yes
GRB10	2887	C-66	yes	NA	no
DNAJC11	55735	C-67	no	SARS-CoV2 nsp4	yes
SAMM50	25813	C-67	yes	NA	no
CHCHD6	84303	C-67	yes	NA	no
GPAA1	8733	C-68	no	SARS-CoV2 orf9c	yes
PIGO	84720	C-68	no	SARS-CoV2 orf9c	yes
PIGS	94005	C-68	no	SARS-CoV2 orf9c	yes
TAP2	6891	C-69	yes	NA	no
TAPBP	6892	C-69	yes	NA	no
TAP1	6890	C-69	yes	NA	no
RAB7A	7879	C-70	no	SARS-CoV2 nsp7	yes
VPS11	55823	C-70	no	SARS-CoV2 orf3a	yes
VPS39	23339	C-70	no	SARS-CoV2 orf3a	yes
IL15	3600	C-71	yes	NA	no
IL15RA	3601	C-71	yes	NA	no
IL2RG	3561	C-71	yes	NA	no
AAR2	25980	C-72	no	SARS-CoV2 M	yes
KIAA1143	57456	C-72	yes	NA	no
CHCHD2	51142	C-73	yes	NA	no
TREX1	11277	C-73	yes	NA	no
UBAP2	55833	C-74	no	SARS-CoV2 nsp12	yes
TEP1	7011	C-74	yes	NA	no
SCAF4	57466	C-75	yes	NA	no
TXNDC17	84817	C-75	yes	NA	no
FYCO1	79443	C-76	no	SARS-CoV2 nsp13	yes
SASS6	163786	C-76	yes	NA	no
GCH1	2643	C-77	yes	NA	no
RTN4	57142	C-77	no	SARS-CoV2 M	yes
TLN2	83660	C-78	yes	NA	no
RAPH1	65059	C-78	yes	NA	no
IMPDH2	3615	C-79	no	SARS-CoV2 nsp14	yes
PUSL1	126789	C-79	no	SARS-CoV2 orf8	yes
KCTD13	253980	C-80	yes	NA	no
USP25	29761	C-80	yes	NA	no
LARP1	23367	C-81	no	SARS-CoV2 N	yes
LARP1B	55132	C-81	yes	NA	no
CETN3	1070	C-82	yes	NA	no
SAC3D1	29901	C-82	yes	NA	no
EIF4H	7458	C-83	no	SARS-CoV2 nsp9	yes
RBMS2	5939	C-83	yes	NA	no
G3BP1	10146	C-84	no	SARS-CoV2 N	yes
G3BP2	9908	C-84	no	SARS-CoV2 N	yes
BRD4	23476	C-85	no	SARS-CoV2 E	yes
ZC3H18	124245	C-85	no	SARS-CoV2 E	yes
SMCHD1	23347	C-86	yes	NA	no
TRIM25	7706	C-86	yes	NA	no
DUT	1854	C-87	yes	NA	no
FKBP7	51661	C-87	no	SARS-CoV2 orf8	yes
DBI	1622	C-88	yes	NA	no
CRIP1	1396	C-88	yes	NA	no
KMT2B	9757	C-89	yes	NA	no
HCFC2	29915	C-89	yes	NA	no
PRDX1	5052	C-90	yes	NA	no
PRDX3	10935	C-90	yes	NA	no
NR1D2	9975	C-91	yes	NA	no
NR1D1	9572	C-91	yes	NA	no
HMGN1	3150	C-92	yes	NA	no
HMGN5	79366	C-92	yes	NA	no
PTK2B	2185	C-93	yes	NA	no
CHRNB1	1140	C-93	yes	NA	no
SIGMAR1	10280	C-94	no	SARS-CoV2 nsp6	yes
ERG28	11161	C-94	yes	NA	no
SERPINE1	5054	C-95	yes	NA	no
TGIF2	60436	C-95	yes	NA	no
GPCPD1	56261	C-96	yes	NA	no
ACHE	43	C-96	yes	NA	no
SELENOP	6414	C-97	yes	NA	no
FAM3C	10447	C-97	yes	NA	no
BHLHE40	8553	C-98	yes	NA	no
HES1	3280	C-98	yes	NA	no
NEGR1	257194	C-99	yes	NA	no
ART3	419	C-99	yes	NA	no
CTSB	1508	C-100	no	NA	yes
CTSL	1514	C-100	no	NA	yes
PTGS1	5742	C-101	yes	NA	no
CYP2U1	113612	C-101	yes	NA	no
PELI1	57162	C-102	yes	NA	no
PELI2	57161	C-102	yes	NA	no
CYS1	192668	C-103	yes	NA	no
ARL3	403	C-103	yes	NA	no
CLDN2	9075	C-104	yes	NA	no
CLDN4	1364	C-104	yes	NA	no
FGF2	2247	C-105	yes	NA	no
FLRT3	23767	C-105	yes	NA	no
CHD7	55636	C-106	yes	NA	no
PPARG	5468	C-106	yes	NA	no
PIK3AP1	118788	C-107	yes	NA	no
PIK3CD	5293	C-107	yes	NA	no
RYR2	6262	C-108	yes	NA	no
CALM3	808	C-108	yes	NA	no
PDE4DIP	9659	C-109	no	SARS-CoV2 nsp13	yes
PDE4D	5144	C-109	yes	NA	no
ARF6	382	C-110	no	SARS-CoV2 nsp15	yes
CPE	1363	C-110	yes	NA	no
GLYCTK	132158	C-111	yes	NA	no
PGAM1	5223	C-111	yes	NA	no
PDGFD	80310	C-112	yes	NA	no
PLAT	5327	C-112	yes	SARS-CoV2 orf8	yes
MARK2	2011	C-113	no	SARS-CoV2 orf9b	yes
MIB1	57534	C-113	no	SARS-CoV2 nsp9	yes
C1orf50	79078	C-114	no	SARS-CoV2 nsp13	yes
AHCY	191	C-114	yes	NA	no
NUP98	4928	C-115	no	SARS-CoV2 orf6	yes
NXT2	55916	C-115	yes	NA	no
NEDD9	4739	C-116	yes	NA	no
BCAR3	8412	C-116	yes	NA	no
FBXO38	81545	C-117	yes	NA	no
KLF7	8609	C-117	yes	NA	no
MYB	4602	C-118	yes	NA	no
PIM1	5292	C-118	yes	NA	no
KITLG	4254	C-119	yes	NA	no
SH2B3	10019	C-119	yes	NA	no
RAD1	5810	C-120	yes	NA	no
RAD52	5893	C-120	yes	NA	no
TPMT	7172	C-121	yes	NA	no
XDH	7498	C-121	yes	NA	no
DNAH17	8632	C-122	yes	NA	no
DYNLT3	6990	C-122	yes	NA	no
NAA10	8260	C-123	yes	NA	no
NAA25	80018	C-123	yes	NA	no
LIF	3976	C-124	yes	NA	no
HBEGF	1839	C-124	yes	NA	no
TRAF1	7185	C-125	yes	NA	no
TNFRSF14	8764	C-125	yes	NA	no
ZCCHC8	55596	C-126	yes	NA	no
TENT4B	64282	C-126	yes	NA	no
UGCG	7357	C-127	yes	NA	no
GBA	2629	C-127	yes	NA	no
NPC1	4864	C-128	yes	NA	no
TMEM97	27346	C-128	no	SARS-CoV2 orf9c	yes
SPRY2	10253	C-129	yes	NA	no
SPRY4	81848	C-129	yes	NA	no
MME	4311	C-130	yes	NA	no
ACE2	59272	C-130	no	NA	yes
IFNAR2	3455	C-131	yes	NA	no
IFNGR2	3460	C-131	yes	NA	no
BCL6	604	C-132	yes	NA	no
CD22	933	C-132	yes	NA	no
CLK1	1195	C-133	yes	NA	no
CLK4	57396	C-133	yes	NA	no
MEF2D	4209	C-134	yes	NA	no
NR4A1	3164	C-134	yes	NA	no
PPCDC	60490	C-135	yes	NA	no
PANK1	53354	C-135	yes	NA	no
CREB1	1385	C-136	yes	NA	no
CRTC3	64784	C-136	no	SARS-CoV2 nsp12	yes
ATXN7	6314	C-137	yes	NA	no
ENY2	56943	C-137	yes	NA	no
AGMAT	79814	C-138	yes	NA	no
SRM	6723	C-138	yes	NA	no
HMGCS1	3157	C-139	yes	NA	no
MVD	4597	C-139	yes	NA	no
FBLN5	10516	C-140	no	SARS-CoV2 nsp9	yes
LOX	4015	C-140	no	SARS-CoV2 orf8	yes
LARP7	51574	C-141	no	SARS-CoV2 nsp8	yes
MEPCE	56257	C-141	no	SARS-CoV2 nsp8	yes
IL11RA	3590	C-142	yes	NA	no
IL11	3589	C-142	yes	NA	no
PCBD1	5092	C-143	yes	NA	no
QDPR	5860	C-143	yes	NA	no
AMOTL2	51421	C-144	yes	NA	no
LATS2	26524	C-144	yes	NA	no
INTU	27152	C-145	yes	NA	no
FUZ	80199	C-145	yes	NA	no
ANKLE2	23141	C-146	yes	NA	no
BANF1	8815	C-146	yes	NA	no
SEPHS2	22928	C-147	yes	NA	no
SEPSECS	51091	C-147	no	SARS-CoV2 nsp8	yes
HYOU1	10525	C-148	no	SARS-CoV2 orf8	yes
SIL1	64374	C-148	no	SARS-CoV2 orf8	yes
SGK1	6446	C-149	yes	NA	no
RICTOR	253260	C-149	yes	NA	no
SZT2	23334	C-150	yes	NA	no
SESN2	83667	C-150	yes	NA	no
SLC3A2	6520	C-151	yes	NA	no
SLC7A5	8140	C-151	yes	NA	no
LGALS9	3965	C-152	yes	NA	no
HAVCR2	84868	C-152	yes	NA	no
ETFA	2108	C-153	no	SARS-CoV2 M	yes
ETFB	2109	C-153	yes	NA	no
CAMK2B	816		yes	NA	no
FOXO3	2309		yes	NA	no
IL4I1	259307		yes	NA	no
NOS3	4846		yes	NA	no
TCP1	6950		yes	NA	no
MIF	4282		yes	NA	no
